fileno,observation,ucl_alpha_0.01,ucl_alpha_0.02,ucl_alpha_0.12000000000000001,ucl_alpha_0.22,ucl_alpha_0.32000000000000006,ucl_alpha_0.42000000000000004,ucl_alpha_0.52,ucl_alpha_0.6200000000000001,ucl_alpha_0.7200000000000001,ucl_alpha_0.8200000000000001,ucl_alpha_0.92,filename,test_younger,train_younger,difference
13526,70.93764068557812,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,582.7021615636274,13526_HelenHayes_52_f.jpg,0,1,0
13533,138.25034133803558,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,13533_HelenHayes_23_f.jpg,1,1,1
13533,138.25034133803558,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,10217.91618956239,13533_HelenHayes_23_f.jpg,1,1,1
13537,100.77709424642512,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,13537_HelenHayes_34_f.jpg,1,1,1
13537,100.77709424642512,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,455.00552046593253,13537_HelenHayes_34_f.jpg,1,1,1
13539,128.25480040085495,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,13539_HelenHayes_85_f.jpg,1,1,1
13539,128.25480040085495,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,18.58610408633027,13539_HelenHayes_85_f.jpg,1,1,1
13550,126.4884298545744,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,13550_HelenHayes_78_f.jpg,0,1,0
13550,126.4884298545744,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,932.0870356177276,13550_HelenHayes_78_f.jpg,0,1,0
13554,125.45201523274136,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,13554_HelenHayes_70_f.jpg,1,1,1
13554,125.45201523274136,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,10314.054592704431,13554_HelenHayes_70_f.jpg,1,1,1
14520,154.9078346048318,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,14520_AudreyHepburn_62_f.jpg,1,1,1
14520,154.9078346048318,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,9.055925653692293,14520_AudreyHepburn_62_f.jpg,1,1,1
14530,132.2491079052361,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,14530_AudreyHepburn_24_f.jpg,1,1,1
